epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
131,5196.22,2.05111,1.2441,1.21097,0.85763,0.74316,0.82723,0.32816,2.05322,1.07408,1.28452,0.001142,0.001142,0.001142
132,5226.77,1.98904,1.2093,1.1999,0.86771,0.7497,0.82443,0.33146,2.01746,1.10045,1.26128,0.0011354,0.0011354,0.0011354
133,5271.63,1.99462,1.2223,1.19709,0.80262,0.71767,0.777,0.30571,2.09,1.17868,1.29999,0.0011288,0.0011288,0.0011288
134,5309.59,2.02687,1.22155,1.2011,0.86108,0.75732,0.82845,0.33328,2.03252,1.09059,1.28894,0.0011222,0.0011222,0.0011222
135,5353.46,1.99528,1.20031,1.19642,0.86179,0.74377,0.82182,0.33889,2.02093,1.04867,1.27026,0.0011156,0.0011156,0.0011156
136,5384.39,2.00032,1.18616,1.19985,0.85467,0.78173,0.84062,0.34257,2.02444,1.09248,1.28646,0.001109,0.001109,0.001109
137,5428.58,1.99809,1.18958,1.19122,0.85642,0.76512,0.83175,0.32588,2.05057,1.06137,1.28376,0.0011024,0.0011024,0.0011024
138,5461.44,1.99932,1.20091,1.19729,0.81466,0.7331,0.79129,0.2992,2.13031,1.10758,1.30729,0.0010958,0.0010958,0.0010958
139,5507.25,1.96271,1.20928,1.18996,0.83448,0.7331,0.80155,0.31207,2.1225,1.08498,1.299,0.0010892,0.0010892,0.0010892
140,5534.12,1.96041,1.18377,1.17563,0.8372,0.73428,0.81415,0.32414,2.06318,1.08376,1.30038,0.0010826,0.0010826,0.0010826
141,5569.26,1.97666,1.18921,1.19234,0.8492,0.75563,0.82513,0.32138,2.06895,1.11413,1.3121,0.001076,0.001076,0.001076
142,5607.69,1.9797,1.18127,1.19671,0.83098,0.75326,0.81587,0.31693,2.06229,1.12512,1.29789,0.0010694,0.0010694,0.0010694
143,5650.47,1.98099,1.19146,1.19168,0.87685,0.76014,0.84286,0.33598,2.02637,1.06804,1.28161,0.0010628,0.0010628,0.0010628
